1 2 3 4 5
version_number initial_mass initial_z burn_min1 burn_min2
7623 2.0000000000000001E-001 2.9999999999999997E-004 5.0000000000000000E+001 1.0000000000000000E+003

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38
model_number star_age star_mass log_L log_R log_Teff log_center_T log_center_Rho log_center_P center_degeneracy center_h1 center_he4 center_c12 center_n14 center_o16 center_o18 center_ne22 dynamic_timescale kh_timescale nuc_timescale pp cno tri_alfa log_LH log_LHe log_LZ log_Lneu he_core_mass c_core_mass o_core_mass he_core_radius c_core_radius o_core_radius surf_avg_omega_div_omega_crit log_total_angular_momentum surf_avg_omega surf_avg_v_rot star_mdot
1 1.0000000000000001E-005 1.9999999999999940E-001 1.0293443453739131E+000 7.6031904213460222E-001 3.6388059835024906E+000 5.4772592630923800E+000 -1.8678430146341358E+000 1.1741164076455171E+001 -4.7767487827345132E+000 7.5910000000000000E-001 2.4057439531770919E-001 5.1005022625684235E-005 1.5063056338577886E-005 1.4003522653352138E-004 3.1597727572753964E-007 9.2839132202849386E-005 3.0938349189943180E+005 1.5239690349635675E+004 1.8693285988304207E+008 -2.0776484468124153E+001 -8.1887702130683181E+001 -9.8999999999999986E+001 -2.0776484468124153E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1420490181885416E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.1849344612956480E-011
2 2.2000000000000003E-005 1.9999999999999868E-001 1.0275658567299841E+000 7.6029146718653340E-001 3.6383751488155429E+000 5.4772589167396681E+000 -1.8678435658689723E+000 1.1741161849323385E+001 -4.7767492889534777E+000 7.5910000000000000E-001 2.4057439531770919E-001 5.1005022625684228E-005 1.5063056338577888E-005 1.4003522653352138E-004 3.1597727572753964E-007 9.2839132202849386E-005 3.0935402746516687E+005 1.5303198317173381E+004 1.8769994222097406E+008 -2.0776485689761650E+001 -8.1887712016429759E+001 -9.8999999999999986E+001 -2.0776485689761650E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1420491403522913E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.1611727724366149E-011
3 3.6400000000000004E-005 1.9999999999999779E-001 1.0250328134658764E+000 7.6025628867328132E-001 3.6377594772561421E+000 5.4772589545369366E+000 -1.8678435332913035E+000 1.1741162571147779E+001 -4.7767511855402098E+000 7.5910000000000000E-001 2.4057439531770922E-001 5.1005022625684228E-005 1.5063056338577888E-005 1.4003522653352138E-004 3.1597727572753964E-007 9.2839132202849386E-005 3.0931644252878096E+005 1.5393962638169240E+004 1.8879790994164705E+008 -2.0776485818840467E+001 -8.1887725062158225E+001 -9.8999999999999986E+001 -2.0776485818840467E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1420491532601730E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.1356040284187448E-011
4 5.3680000000000001E-005 1.9999999999999674E-001 1.0232453842007823E+000 7.6022443690367836E-001 3.6373285458246696E+000 5.4772586978221742E+000 -1.8678439303490233E+000 1.1741161849290881E+001 -4.7767492889534777E+000 7.5910000000000000E-001 2.4057439531770916E-001 5.1005022625684221E-005 1.5063056338577888E-005 1.4003522653352138E-004 3.1597727572753964E-007 9.2839132202849386E-005 3.0928241584450175E+005 1.5458583964440357E+004 1.8957654823110604E+008 -2.0776486585595251E+001 -8.1887747122453192E+001 -9.8999999999999986E+001 -2.0776486585595251E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1420492299356514E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.0994279023212002E-011
5 7.4416000000000000E-005 1.9999999999999543E-001 1.0210675824013682E+000 7.6018764230597302E-001 3.6368024926736684E+000 5.4772590640508181E+000 -1.8678433638429863E+000 1.1741162571164038E+001 -4.7767511855402098E+000 7.5910000000000000E-001 2.4057439531770919E-001 5.1005022625684228E-005 1.5063056338577884E-005 1.4003522653352138E-004 3.1597727572753964E-007 9.2839132202849386E-005 3.0924311348353600E+005 1.5537613195377102E+004 1.9052958138360664E+008 -2.0776487567976673E+001 -8.1887757336896058E+001 -9.8999999999999986E+001 -2.0776487567976673E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1420493281737937E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.0739305397264018E-011
6 9.9299199999999986E-005 1.9999999999999390E-001 1.0186340883091403E+000 7.6015329452185298E-001 3.6362112930426722E+000 5.4772498919238313E+000 -1.8678818286830521E+000 1.1741116041047601E+001 -4.7768084105184077E+000 7.5910000000000000E-001 2.4057439531770919E-001 5.1005022625684228E-005 1.5063056338577886E-005 1.4003522653352138E-004 3.1597727572753964E-007 9.2839132202849386E-005 3.0920642920781806E+005 1.5626155705332309E+004 1.9160017762268698E+008 -2.0776606820369270E+001 -8.1888271234697797E+001 -9.8999999999999986E+001 -2.0776606820369270E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1420612534130534E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.0430366016882869E-011
7 1.2915903999999998E-004 1.9999999999999210E-001 1.0159806725254152E+000 7.6011453712334476E-001 3.6355673177959948E+000 5.4772414772702023E+000 -1.8679210138274915E+000 1.1741067400386953E+001 -4.7768707701869078E+000 7.5910000000000000E-001 2.4057439531770919E-001 5.1005022625684235E-005 1.5063056338577886E-005 1.4003522653352138E-004 3.1597727572753964E-007 9.2839132202849386E-005 3.0916504058136267E+005 1.5723322440801972E+004 1.9277438360213876E+008 -2.0776724673487490E+001 -8.1888771711854218E+001 -9.8999999999999986E+001 -2.0776724673487490E+001 -9.8999999999999986E+001 -3.6725659471005699E+001 -2.1420730387248753E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -6.0087949341562619E-011
8 1.6499084799999998E-004 1.9999999999998996E-001 1.0131408237575272E+000 7.6007235407677998E-001 3.6348784471273055E+000 5.4772323309950615E+000 -1.8679590573273364E+000 1.1741021596191937E+001 -4.7769284601971425E+000 7.5910000000000000E-001 2.4057439531770922E-001 5.1005022625684228E-005 1.5063056338577886E-005 1.4003522653352138E-004 3.1597727572753964E-007 9.2839132202849386E-005 3.0912000003681576E+005 1.5828011330254536E+004 1.9403906439516854E+008 -2.0776842023938048E+001 -8.1889268500445652E+001 -9.8999999999999986E+001 -2.0776842023938048E+001 -9.8999999999999986E+001 -3.6725659471005699E+001 -2.1420847737699312E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.9716618797361450E-011
9 2.0798901759999997E-004 1.9999999999998741E-001 1.0096258277030710E+000 7.6001689530325744E-001 3.6340274275004520E+000 5.4772326324788487E+000 -1.8679581677816106E+000 1.1741022576192826E+001 -4.7769265955914904E+000 7.5910000000000000E-001 2.4057439531770919E-001 5.1005022625684228E-005 1.5063056338577886E-005 1.4003522653352138E-004 3.1597727572753964E-007 9.2839132202849386E-005 3.0906079444590933E+005 1.5958674152530137E+004 1.9561590714596561E+008 -2.0776838512419705E+001 -8.1889243202881374E+001 -9.8999999999999986E+001 -2.0776838512419705E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1420844226180972E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.9321643940866358E-011
